"","sourceID","Source","Target","popularity","followers","id"
"119","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Jacob Whitesides",54,132962,"05tyvnDgYMhgagYbUx9td4"
"120","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Madison Beer",57,101128,"2kRfqPViCqYdSGhYSM9R0Q"
"121","5WUlDfRSoLAfcVSX1WnrxN","Sia","Ellie Goulding",81,2783403,"0X2BH1fck6amBIoJhDVmmJ"
"122","5WUlDfRSoLAfcVSX1WnrxN","Sia","Adele",88,4937898,"4dpARuHxo51G3z768sgnrY"
"123","5WUlDfRSoLAfcVSX1WnrxN","Sia","Lana Del Rey",81,4234282,"00FQb4jTyendYWaN8pK0wa"
"124","5WUlDfRSoLAfcVSX1WnrxN","Sia","Emilíana Torrini",55,88819,"08j69Ndyx1P7RLO3Janb5P"
"125","5WUlDfRSoLAfcVSX1WnrxN","Sia","Marina and the Diamonds",69,793524,"6CwfuxIqcltXDGjfZsMd9A"
"126","5WUlDfRSoLAfcVSX1WnrxN","Sia","Mark Ronson",73,315293,"3hv9jJF3adDNsBSIQDqcjp"
"127","5WUlDfRSoLAfcVSX1WnrxN","Sia","Paloma Faith",62,276821,"4fwuXg6XQHfdlOdmw36OHa"
"128","5WUlDfRSoLAfcVSX1WnrxN","Sia","Jem",44,25581,"4v4xuH9VypORYabMnhPLt1"
"129","5WUlDfRSoLAfcVSX1WnrxN","Sia","Imogen Heap",55,179721,"6Xb4ezwoAQC4516kI89nWz"
"130","5WUlDfRSoLAfcVSX1WnrxN","Sia","Florence + The Machine",76,2558400,"1moxjboGR7GNWYIMWsRjgG"
"131","5WUlDfRSoLAfcVSX1WnrxN","Sia","Katy Perry",80,4593901,"6jJ0s89eD6GaHleKKya26X"
"132","5WUlDfRSoLAfcVSX1WnrxN","Sia","Lykke Li",65,821330,"6oBm8HB0yfrIc9IHbxs6in"
"133","5WUlDfRSoLAfcVSX1WnrxN","Sia","Lenka",55,88778,"5g3uG8zZZANGT6YOssgjfC"
"134","5WUlDfRSoLAfcVSX1WnrxN","Sia","Dido",66,282117,"2mpeljBig2IXLXRAFO9AAs"
"135","5WUlDfRSoLAfcVSX1WnrxN","Sia","Frou Frou",46,47644,"6MUyqmIQ35inLjch0YzIEG"
"136","5WUlDfRSoLAfcVSX1WnrxN","Sia","Carly Rae Jepsen",72,1735323,"6sFIWsNpZYqfjUpaCgueju"
"137","5WUlDfRSoLAfcVSX1WnrxN","Sia","Jessie J",74,1633566,"2gsggkzM5R49q6jpPvazou"
